SeriesID,PublisherID
30,4
27,1
60,4
70,1
15,1
80,1
6,1
76,1
32,1
55,1
75,1
4,1
59,4
56,1
64,1
3,6
24,4
71,1
1,1
77,1
34,1
21,1
5,1
81,1
50,1
36,1
26,4
35,1
29,1
