ArcTitle,Issues,Character
Disney's Beauty and the Beast: A Chance for Romance,"2437, 2440, 2442, 2444",
A Guy and His Gnort,"1273, 1274, 1277, 14988","48, 27800, 253, 27798, 14521, 36123, 18211, 42, 27793, 1811, 35, 34, 37, 23098, 23097, 27795, 1046, 36, 18777, 2066, 105, 27802, 27796, 27794, 27799, 27797, 27801"
Absolute Power,"43063, 73542, 690, 788, 789, 790, 791","316, 3598, 193, 266, 3591, 48, 28121, 14262, 1494, 553, 5705, 4505, 232, 1486, 36891, 6027, 1487, 209, 4126, 13225, 277, 4097, 40, 246, 2364, 1499, 28120, 6100, 1497, 256, 51, 97, 35, 554, 352, 92, 5707, 94, 2503, 1502, 1481, 1479, 2056, 1570, 221, 1488, 4123, 38575, 6255, 105, 1496, 282, 91, 1489, 914, 944, 84, 1157, 5660, 7080, 242, 331, 1503, 1621, 1492, 135, 9790, 1493, 336, 6359, 96, 1505, 7228, 4514, 5474, 1156, 1022, 609, 36595, 36593, 4095, 106"
Acts of War,"163755, 1810, 1806, 1807, 1808, 1809","795, 796, 1048, 836, 1052, 805, 808, 30017, 837, 835, 838, 736, 814, 816, 30018, 741, 824, 834, 825, 30016, 30010, 830, 1049, 14426, 753, 30015, 833, 739, 795, 796, 1048, 836, 1052, 805, 808, 30017, 837, 835, 838, 736, 814, 816, 30018, 741, 824, 834, 825, 30016, 30010, 830, 1049, 14426, 753, 30015, 833, 739"
American Nightmare,"2530, 2531, 2532, 2533","1701, 70257, 208, 45212, 38900, 32786, 1309, 382, 6330, 860, 686, 1760, 1745, 200"
A Lonely Place of Dying,"1788, 1791, 1793, 267665, 210269, 30360, 180045, 1786, 1789","48, 2407, 310, 1610, 8189, 4484, 88, 14095, 20890, 20258, 12296, 367, 94, 4193, 85, 629, 91, 941, 311, 82, 83, 84, 14813, 55104, 313, 10855, 2205, 95, 48, 2407, 310, 1610, 8189, 4484, 88, 14095, 20890, 20258, 12296, 367, 94, 4193, 85, 629, 91, 941, 311, 82, 83, 84, 14813, 55104, 313, 2205, 95"
Battlestar Galactica (adaptation of Larson pilot movie),"2077, 250243, 250244, 2078, 2079, 250245",
