ComicID,CharacterID
2,62543
2,62544
2,1
2,18512
3,62543
3,62544
3,1
3,18512
3,18511
8,19
8,18
8,30071
9,237
9,2924
9,59
9,61
9,60
9,57
9,58
9,56
9,19
9,24
9,18
9,90255
10,21
10,90155
10,26122
10,2924
10,234
10,26123
10,20
10,18
11,21
11,90152
11,26122
11,62
11,2924
11,26123
11,20
11,22
11,18
11,90150
12,17035
12,21
12,26122
12,62
12,90153
12,26123
12,20
12,22
12,18
13,27099
13,27102
13,27098
13,27101
13,27103
13,27100
14,21
14,26122
14,90151
14,26123
14,20
14,18
15,27104
15,27098
15,27101
15,27100
16,19141
16,100
16,19140
16,19143
18,80829
18,80833
18,80831
18,80830
18,80832
18,80788
18,80828
18,80834
19,80833
19,80831
19,80832
19,18621
19,80788
19,80828
19,80835
20,1216
20,774
20,29
20,130
20,9579
20,347
20,36
20,773
20,27
20,374
20,555
20,556
20,775
21,1216
21,502
21,492
21,29
21,130
21,9579
21,347
21,27
21,374
21,784
21,775
22,69240
22,42248
22,34699
22,42238
22,42244
22,69241
22,42241
22,42240
22,69242
22,42243
22,69243
22,42239
22,42237
22,42255
22,42235
22,34701
22,42245
23,69244
23,42248
23,69245
23,42236
23,34699
23,42238
23,69241
23,42241
23,42240
23,69247
23,42251
23,69246
23,42255
23,42235
23,24039
24,7850
24,39
24,81839
24,208
24,2029
24,33
24,31
24,203
24,388
24,373
24,30
25,7850
25,53824
25,39
25,208
25,33
25,31
25,203
25,373
25,1813
25,7728
25,30
25,390
26,7850
26,39
26,208
26,2042
26,33
26,31
26,203
26,373
26,1813
26,7728
26,30
26,390
27,7850
27,39
27,208
27,33
27,31
27,203
27,373
27,1813
27,7728
27,30
28,7850
28,39
28,208
28,33
28,31
28,203
28,42454
28,373
28,1813
28,7728
28,30
28,18286
29,7850
29,39
29,208
29,33
29,31
29,203
29,373
29,1813
29,7728
29,30
29,38
29,18286
29,32
30,9301
30,35
30,37
30,4802
30,9302
30,9300
30,4964
30,523
31,9301
31,35
31,37
31,4802
31,9302
31,9300
31,9303
32,48
32,3880
32,111
32,9301
32,9306
32,35
32,37
32,3885
32,4803
32,9305
32,4802
32,9304
32,3882
32,3881
32,3883
32,9302
32,9300
32,9303
32,4951
32,3884
33,19779
33,2146
33,24113
33,7989
33,51
33,97
33,35
33,19780
33,2253
33,36
33,18777
33,19777
33,4964
33,5224
33,9303
33,19778
34,2758
34,3169
34,14666
34,3228
34,3248
34,3145
34,3256
34,3221
34,3170
34,2745
34,3261
34,3288
34,3167
34,3168
34,32527
35,2758
35,3169
35,14666
35,3228
35,3248
35,3145
35,3256
35,3221
35,3170
35,2745
35,3261
35,3288
35,3167
35,3168
35,32527
36,2180
36,48
36,2178
36,2179
36,877
36,2181
36,2177
36,2176
37,12324
37,40893
37,40
37,23638
37,31653
37,61649
37,14101
37,5962
37,40892
37,14100
38,40893
38,40
38,23638
38,6986
38,61649
38,14101
38,5962
38,40892
38,14100
39,40893
39,40
39,61649
39,14101
39,5962
39,14100
40,40
40,6986
40,61649
40,14101
40,5962
40,14100
41,93394
41,36267
41,30297
41,93393
41,35819
41,36265
41,36268
41,12492
41,36266
41,2
42,93394
42,36267
42,30297
42,93393
42,35819
42,36265
42,36268
42,12492
42,36266
42,2
43,93395
43,36267
43,30297
43,93393
43,35819
43,36265
43,12492
43,36266
43,36270
43,2
44,36271
44,12492
44,36270
44,2
45,35819
45,36271
45,12492
45,36266
45,36270
45,2
46,35819
46,36271
46,12492
46,36270
46,2
47,13
47,12
47,9
47,67
47,68
47,66
47,65
48,43263
48,43264
48,43265
48,25335
48,43266
48,25325
48,25301
48,43267
48,43268
49,55
49,567
49,62
49,577
49,4228
49,19
49,22
54,60118
55,43263
55,43264
55,43265
55,43266
55,43267
56,43263
56,43264
56,43265
56,43266
56,60118
56,43267
57,43263
57,43264
57,43265
57,43266
57,43267
57,49803
58,43263
58,43264
58,43265
58,43266
58,43267
58,49803
59,43263
59,43264
59,43265
59,43266
59,43267
59,49803
61,43263
61,43264
61,43265
61,43266
61,43267
61,49803
62,43263
62,43264
62,43265
62,43266
62,43267
62,49803
63,43263
64,43263
64,43264
64,43265
64,43266
64,60118
64,43267
64,43268
65,43264
65,43265
65,43266
65,60118
65,43267
65,43268
66,43264
66,43265
66,43266
66,43267
66,43268
67,43263
67,43264
67,43265
67,43266
67,43267
67,43268
70,1942
70,79130
70,79131
70,257
70,80492
70,80487
70,80488
70,80486
70,1808
70,80491
70,549
70,80485
71,1203
71,48
71,251
71,24472
71,1584
71,85
71,449
71,86
71,10855
72,758
72,131
72,99
72,130
72,9579
72,759
72,760
72,132
72,762
73,48
73,29
73,94
73,105
73,194
73,72
73,96
73,4091
73,1627
74,238
74,261
74,259
74,2924
74,61
74,58
74,135
74,18
75,613
75,48
75,48658
75,493
75,494
75,491
75,886
75,709
75,620
75,624
75,569
75,565
75,52
75,571
75,4110
75,573
75,559
75,48657
75,48659
75,561
75,583
75,710
75,584
75,48655
75,539
75,586
75,587
75,48653
75,591
75,595
75,606
75,607
75,608
75,48660
75,611
75,9307
75,23815
75,48656
75,70
76,409
76,2855
76,513
76,131
76,1525
76,99
76,408
76,8543
76,130
76,104
76,9579
76,2860
76,132
76,9768
76,133
76,129
76,374
76,7843
77,60254
77,337
77,12324
77,267
77,2041
77,51
77,62162
77,35
77,3700
77,338
77,105
77,233
77,22
77,296
77,294
78,1693
78,1688
78,337
78,48
78,276
78,257
78,225
78,467
78,40
78,68964
78,1671
78,1080
78,256
78,866
78,270
78,2333
78,50
78,1595
78,35
78,29
78,280
78,1039
78,1047
78,105
78,4610
78,283
78,548
78,284
78,167
78,940
78,311
78,839
78,2159
78,2204
78,917
78,135
78,107
78,64
78,698
78,96
78,3537
78,375
78,106
78,1082
78,1627
79,919
79,25120
79,6171
79,4073
79,15457
79,2304
79,2489
79,254
79,257
79,620
79,4669
79,54891
79,40
79,524
79,1671
79,918
79,3521
79,1080
79,3528
79,1657
79,3527
79,338
79,2515
79,3520
79,1079
79,1081
79,3529
79,167
79,940
79,917
79,3530
79,107
79,5997
79,1612
79,43510
79,3526
79,1627
80,254
80,257
80,524
80,440
80,918
80,1080
80,43513
80,43512
80,43515
80,1047
80,1435
80,1079
80,1081
80,43514
80,167
80,940
80,107
80,43511
81,2304
81,254
81,257
81,524
81,918
81,1080
81,49
81,12117
81,1079
81,1081
81,167
81,940
81,43516
81,107
82,919
82,25120
82,6171
82,368
82,1083
82,254
82,257
82,225
82,620
82,40
82,524
82,3175
82,1671
82,918
82,3521
82,1080
82,256
82,865
82,49
82,549
82,3520
82,1079
82,1081
82,167
82,940
82,3522
82,19088
82,107
82,1272
83,1083
83,254
83,257
83,524
83,918
83,1080
83,1435
83,1079
83,1081
83,167
83,940
83,917
83,107
84,480
84,48
84,368
84,719
84,253
84,714
84,1593
84,1632
84,12487
84,1550
84,291
84,257
84,886
84,344
84,2060
84,310
84,263
84,2074
84,315
84,440
84,345
84,346
84,588
84,370
84,7986
84,918
84,314
84,256
84,42
84,286
84,52
84,9533
84,559
84,97
84,35
84,34
84,687
84,130
84,9579
84,117
84,2066
84,250
84,105
84,549
84,22870
84,583
84,7632
84,2373
84,283
84,2297
84,85
84,1453
84,9254
84,449
84,91
84,43
84,8712
84,484
84,133
84,917
84,3030
84,1592
84,107
84,1449
84,313
84,374
84,96
84,775
84,17953
84,375
84,509
84,106
85,48
85,253
85,714
85,1593
85,12487
85,17003
85,17004
85,2066
85,5584
85,7635
85,91
85,17005
85,905
85,17006
85,106
86,1747
86,48
86,719
86,714
86,1593
86,12487
86,345
86,865
86,17000
86,97
86,35
86,9579
86,354
86,17003
86,479
86,17004
86,2066
86,5584
86,85
86,7635
86,91
86,478
86,17005
86,84
86,17001
86,17006
86,96
86,95
86,17002
86,106
86,1082
87,48
87,714
87,1593
87,12487
87,34
87,2066
87,250
87,5584
87,7635
87,905
87,96
87,106
88,48
88,719
88,714
88,1593
88,12487
88,42
88,34
88,2066
88,105
88,5584
88,905
88,96
88,106
89,48
89,719
89,714
89,1593
89,12487
89,42
89,34
89,221
89,105
89,549
89,690
89,5584
89,84
89,905
89,96
89,106
90,131
90,99
90,130
90,9579
90,132
90,12108
91,758
91,131
91,99
91,130
91,9579
91,759
91,760
91,132
91,12108
91,7843
92,440
92,131
92,50
92,764
92,99
92,97
92,49
92,130
92,9579
92,759
92,760
92,132
92,129
92,762
92,375
93,440
93,131
93,50
93,764
93,99
93,97
93,49
93,12103
93,9579
93,759
93,760
93,132
93,129
93,375
94,131
94,99
94,130
94,104
94,769
94,4599
94,12108
94,129
97,24330
97,194
97,2280
98,3418
98,24330
98,194
98,2280
99,3418
99,337
99,48
99,719
99,24330
99,52
99,97
99,37
99,9579
99,105
99,194
99,7831
99,96
99,2280
99,106
100,3418
100,24330
100,194
100,2280
101,3418
101,24330
101,194
101,2280
102,3418
102,24330
102,194
102,2280
104,9269
104,250
104,9270
104,7861
104,96
105,48
105,9269
105,114
105,250
105,9270
105,7861
105,91
106,48
106,250
106,91
106,96
107,114
107,250
107,9270
107,7861
107,96
107,7839
108,114
108,250
108,9270
108,7861
108,96
108,7839
109,613
109,2091
109,193
109,266
109,337
109,81580
109,48
109,2407
109,277
109,360
109,439
109,246
109,3175
109,1314
109,50
109,52
109,999
109,97
109,49
109,35
109,29
109,10373
109,10374
109,244
109,94
109,1039
109,4173
109,282
109,691
109,3487
109,689
109,1031
109,527
109,12735
109,84
109,4174
109,41
109,223
109,96
109,733
109,2206
109,609
109,531
109,375
110,547
110,2923
110,2574
110,409
110,193
110,1288
110,266
110,337
110,81580
110,48
110,253
110,714
110,502
110,291
110,257
110,8800
110,360
110,346
110,246
110,314
110,39264
110,1314
110,50
110,999
110,97
110,49
110,29
110,1002
110,8543
110,2312
110,10373
110,10374
110,280
110,244
110,54
110,45
110,79
110,1039
110,7205
110,50394
110,960
110,8802
110,105
110,688
110,690
110,282
110,283
110,85
110,2360
110,108
110,284
110,691
110,3487
110,8825
110,43
110,689
110,1031
110,7207
110,84
110,20
110,8803
110,313
110,22
110,698
110,223
110,320
110,96
110,2282
110,733
110,537
110,2206
110,2210
110,531
110,375
110,106
111,2574
111,2091
111,266
111,81580
111,48
111,7211
111,714
111,291
111,257
111,8800
111,360
111,439
111,246
111,3175
111,39264
111,1314
111,50
111,999
111,49
111,29
111,10374
111,244
111,54
111,79
111,1039
111,7205
111,50394
111,4173
111,8802
111,105
111,7210
111,690
111,282
111,2861
111,7206
111,85
111,71
111,8825
111,43
111,689
111,1598
111,7207
111,84
111,4174
111,20
111,8803
111,917
111,41
111,22
111,223
111,320
111,96
111,9723
111,2282
111,733
111,2206
111,2210
111,531
111,375
111,106
112,2923
112,2574
112,193
112,337
112,81580
112,48
112,714
112,291
112,8800
112,314
112,1314
112,50
112,999
112,97
112,49
112,29
112,10374
112,54
112,50394
112,4173
112,8802
112,105
112,282
112,283
112,85
112,71
112,8825
112,43
112,689
112,84
112,4174
112,8803
112,41
112,313
112,22
112,23
112,18
112,698
112,320
112,96
112,733
112,537
112,2206
112,2210
112,375
112,106
120,2923
120,2574
120,1288
120,337
120,81580
120,48
120,291
120,257
120,467
120,15409
120,1314
120,50
120,97
120,49
120,35
120,29
120,10374
120,554
120,54
120,4173
120,105
120,2861
120,71
120,43
120,689
120,41
120,698
120,223
120,320
120,96
120,9723
120,8930
120,537
120,2206
120,2210
120,9251
120,17117
120,106
121,116
121,136
121,56787
121,14699
121,117
121,36908
121,120
121,119
122,136
122,56787
122,97
122,120
122,119
123,116
123,136
123,56787
123,97
123,120
123,119
124,116
124,121
124,136
124,56787
124,14699
124,97
124,122
124,35547
124,127
124,124
124,123
124,126
124,125
124,120
124,119
125,116
125,121
125,136
125,14699
125,97
125,122
125,35547
125,117
125,127
125,124
125,123
125,126
125,125
125,120
125,119
126,137
127,137
128,8574
128,155
128,144
128,57908
128,1698
128,140
128,1562
128,14190
128,139
128,3845
128,146
128,436
128,143
128,5872
128,145
128,154
128,138
128,16332
128,5595
128,5813
128,142
128,2844
128,156
128,1230
128,2051
128,151
128,1281
128,141
128,158
128,663
128,665
129,137
130,137
131,137
132,137
133,3227
133,3221
133,55664
133,3222
133,3224
133,3223
133,3226
133,80600
133,2741
133,3225
133,3199
134,3228
134,3221
134,55664
134,3222
134,3224
134,3223
134,3226
134,2741
134,3225
134,3199
135,148
135,144
135,140
135,139
135,146
135,143
135,138
135,142
135,1230
135,2051
135,149
135,141
135,158
136,3227
136,3228
136,3221
136,32520
136,55664
136,3222
136,3224
136,3223
136,3226
136,2741
136,3225
136,3199
137,3227
137,55665
137,3228
137,3221
137,32520
137,55664
137,3222
137,3224
137,3223
137,3226
137,2741
137,3225
137,3199
138,55665
138,3221
138,3224
138,32521
138,3223
138,3226
138,2741
138,3229
138,32526
139,16994
139,14840
139,43766
139,43765
139,43764
139,16991
139,43763
139,2293
139,14839
139,16993
140,3241
140,3221
140,3236
140,3222
140,3224
140,3226
140,3238
140,2741
140,3225
140,3237
140,3199
141,3227
141,3221
141,3222
141,3224
141,3226
141,2741
141,3225
141,32526
141,3199
142,3227
142,3241
142,3236
142,3222
142,3226
142,3238
142,3240
142,2741
142,3225
142,3237
142,3199
143,3227
143,3243
143,3236
143,3246
143,3222
143,3245
143,3244
143,3242
143,2741
143,3225
143,3237
143,3199
144,148
144,4421
144,150
144,140
144,139
144,146
144,143
144,145
144,138
144,1230
144,151
144,141
144,158
145,3227
145,3248
145,3243
145,3246
145,3222
145,3245
145,3244
145,3242
145,3226
145,2741
145,3225
145,3199
146,152
146,55656
146,144
146,150
146,140
146,139
146,6543
146,146
146,153
146,143
146,154
146,138
146,142
146,1230
146,2051
146,149
146,151
146,141
146,158
147,74524
147,3227
147,3248
147,3243
147,3334
147,3246
147,3222
147,3245
147,3244
147,3242
147,2741
147,3225
147,3199
148,3241
148,3248
148,3243
148,3236
148,3246
148,3245
148,3244
148,3242
148,2741
148,3237
148,3199
149,3226
149,2741
149,3199
150,3227
150,3228
150,3256
150,3334
150,32520
150,3222
150,2741
150,3249
150,3225
150,3199
151,3227
151,3241
151,3228
151,3236
151,3222
151,3238
151,2741
151,3249
151,3229
151,3225
151,3237
151,3199
152,3241
152,14666
152,3228
152,3262
152,2744
152,2745
152,3236
152,3261
152,3224
152,3238
152,2741
152,3249
152,3229
152,32528
152,3237
152,32527
153,3227
153,3228
153,3262
153,3222
153,3261
153,3226
153,3288
153,32525
153,2741
153,3249
153,32528
153,3225
153,3237
153,3267
153,3199
154,14666
154,3228
154,3262
154,3226
154,2741
154,3199
154,32527
155,3227
155,3241
155,3228
155,3262
155,3222
155,3261
155,3226
155,32525
155,2741
155,3249
155,32528
155,3225
155,3199
156,3228
156,32529
156,3262
156,3236
156,3261
156,3238
156,2741
156,32528
156,3199
157,14666
157,3228
157,32529
157,3262
157,3261
157,3226
157,2741
157,32528
157,3237
157,3199
157,32527
159,8574
159,155
159,144
159,1698
159,140
159,1562
159,14190
159,11164
159,139
159,3845
159,146
159,143
159,5872
159,11163
159,154
159,138
159,16332
159,5595
159,11161
159,142
159,156
159,1252
159,151
159,141
159,158
159,663
159,665
160,74524
160,3227
160,3221
160,3224
160,3226
160,2741
160,3249
160,3229
160,3225
160,3199
161,74524
161,3169
